class,condition,pAP,pAUROC,loss,images,pixels
chewinggum,native,0.8675453097042375,0.9962813843892224,0.4025714199741681,150,40248600
chewinggum,positive_alpha_0,0.8675453097042375,0.9962813843892224,0.4025714199741681,150,40248600
chewinggum,signed_alpha_0,0.8675453097042375,0.9962813843892224,0.4025714199741681,150,40248600
chewinggum,positive_alpha_0.125,0.8789737320977613,0.9977810723624553,0.326341942747434,150,40248600
chewinggum,signed_alpha_0.125,0.8853546519892472,0.9979535644164107,0.32370349297920864,150,40248600
chewinggum,positive_alpha_0.25,0.8855990435537101,0.9979845602708072,0.2743414389093717,150,40248600
chewinggum,signed_alpha_0.25,0.8900642463193579,0.9981104366428452,0.2690862778822581,150,40248600
chewinggum,positive_alpha_0.5,0.8900929947035652,0.998104703637603,0.34947975595792136,150,40248600
chewinggum,signed_alpha_0.5,0.8810269000162786,0.9980085694646192,0.34029762347539266,150,40248600
chewinggum,positive_alpha_1,0.8122915841878502,0.9978821963573964,0.6479420415560404,150,40248600
chewinggum,signed_alpha_1,0.7906878213218927,0.9965828787533276,0.629436827103297,150,40248600
fryum,native,0.793714806189584,0.992974325222131,0.5678830889860789,150,40248600
fryum,positive_alpha_0,0.793714806189584,0.992974325222131,0.5678830889860789,150,40248600
fryum,signed_alpha_0,0.793714806189584,0.992974325222131,0.5678830889860789,150,40248600
fryum,positive_alpha_0.125,0.849545219688631,0.9953957670658862,0.4950909285744031,150,40248600
fryum,signed_alpha_0.125,0.8739670706334514,0.99643956041769,0.4795449323455493,150,40248600
fryum,positive_alpha_0.25,0.8740378868206253,0.996477582715874,0.48311413953701654,150,40248600
fryum,signed_alpha_0.25,0.8849044905259642,0.9971861148277912,0.45719915002584455,150,40248600
fryum,positive_alpha_0.5,0.884918973562427,0.997196467658381,0.5499637335538864,150,40248600
fryum,signed_alpha_0.5,0.8712153169146253,0.9966672869791376,0.5156729145844777,150,40248600
fryum,positive_alpha_1,0.8032449015446884,0.9961430127892684,0.8414615158240001,150,40248600
fryum,signed_alpha_1,0.7838787321237506,0.9935201337180096,0.7911680018901825,150,40248600
macaroni1,native,0.18401190785727511,0.9815430628365839,0.4937265449762344,200,53664800
macaroni1,positive_alpha_0,0.18401190785727511,0.9815430628365839,0.4937265449762344,200,53664800
macaroni1,signed_alpha_0,0.18401190785727511,0.9815430628365839,0.4937265449762344,200,53664800
macaroni1,positive_alpha_0.125,0.20644950976261486,0.9930824106638587,0.4793654191493988,200,53664800
macaroni1,signed_alpha_0.125,0.2125959039301544,0.9945692480648495,0.4788633781671524,200,53664800
macaroni1,positive_alpha_0.25,0.2134678074193756,0.9958346452363935,0.45852004647254946,200,53664800
macaroni1,signed_alpha_0.25,0.21694646259131792,0.9968656732407776,0.45794161602854727,200,53664800
macaroni1,positive_alpha_0.5,0.2174335389010015,0.9969850756224795,0.41197743505239487,200,53664800
macaroni1,signed_alpha_0.5,0.21953353451093136,0.9972619378202894,0.41115271776914597,200,53664800
macaroni1,positive_alpha_1,0.2131510958861116,0.9972201056095534,0.5113134631514549,200,53664800
macaroni1,signed_alpha_1,0.2152811066527892,0.9973863271170923,0.5091934543848038,200,53664800
macaroni2,native,0.07304654637561636,0.9781018645425139,0.5085300758481026,200,53664800
macaroni2,positive_alpha_0,0.07304654637561636,0.9781018645425139,0.5085300758481026,200,53664800
macaroni2,signed_alpha_0,0.07304654637561636,0.9781018645425139,0.5085300758481026,200,53664800
macaroni2,positive_alpha_0.125,0.0944594650808953,0.9916097695303066,0.502411140203476,200,53664800
macaroni2,signed_alpha_0.125,0.10292133482334183,0.9935424716982209,0.4938627514243126,200,53664800
macaroni2,positive_alpha_0.25,0.10438598217798352,0.9944880110679536,0.4859890866279602,200,53664800
macaroni2,signed_alpha_0.25,0.10951249414394676,0.9956500586330533,0.47356373101472854,200,53664800
macaroni2,positive_alpha_0.5,0.11039673854044471,0.995706835514502,0.4473800133168697,200,53664800
macaroni2,signed_alpha_0.5,0.11291385290767425,0.9961259335082571,0.4333736996352673,200,53664800
macaroni2,positive_alpha_1,0.112079113508333,0.9960899704331572,0.508345395475626,200,53664800
macaroni2,signed_alpha_1,0.11446725731355155,0.996303604620163,0.49333234027028083,200,53664800
pcb1,native,0.6014313272807373,0.9675620612587641,0.4674649982154369,200,53664800
pcb1,positive_alpha_0,0.6014313272807373,0.9675620612587641,0.4674649982154369,200,53664800
pcb1,signed_alpha_0,0.6014313272807373,0.9675620612587641,0.4674649982154369,200,53664800
pcb1,positive_alpha_0.125,0.6305636383036148,0.9851048800025718,0.398678782209754,200,53664800
pcb1,signed_alpha_0.125,0.6458761628472298,0.9886167801516988,0.3975395691022277,200,53664800
pcb1,positive_alpha_0.25,0.648143733206593,0.9909059006150741,0.344184007011354,200,53664800
pcb1,signed_alpha_0.25,0.6592184381814654,0.993550856544388,0.34229319330304864,200,53664800
pcb1,positive_alpha_0.5,0.6615227718340513,0.9941753181754497,0.3977476717531681,200,53664800
pcb1,signed_alpha_0.5,0.6640474488975939,0.9949456551890428,0.39258336946368216,200,53664800
pcb1,positive_alpha_1,0.6249278822277275,0.9951514098455873,0.5882000860571861,200,53664800
pcb1,signed_alpha_1,0.6275869250605959,0.9953069180461518,0.5689243477582931,200,53664800
pcb2,native,0.2601609850972927,0.8936735391355806,0.47172777116298675,200,53664800
pcb2,positive_alpha_0,0.2601609850972927,0.8936735391355806,0.47172777116298675,200,53664800
pcb2,signed_alpha_0,0.2601609850972927,0.8936735391355806,0.47172777116298675,200,53664800
pcb2,positive_alpha_0.125,0.27417438577967823,0.9580575391081375,0.40846229285001756,200,53664800
pcb2,signed_alpha_0.125,0.2796305401615947,0.9631944050518682,0.4073035064339638,200,53664800
pcb2,positive_alpha_0.25,0.282810373086529,0.9759147095271845,0.35742379605770114,200,53664800
pcb2,signed_alpha_0.25,0.29101425074061127,0.9844047167811141,0.35573890909552575,200,53664800
pcb2,positive_alpha_0.5,0.29522522338150997,0.9876490867477202,0.396739801466465,200,53664800
pcb2,signed_alpha_0.5,0.30054061638542684,0.989580605415946,0.39283324271440506,200,53664800
pcb2,positive_alpha_1,0.28214176058935325,0.9900536224499629,0.5710655184090138,200,53664800
pcb2,signed_alpha_1,0.2872788144646992,0.9911526183730119,0.5555207200348378,200,53664800
pcb3,native,0.46132777046179446,0.8850379239347008,0.46034773368740556,201,53933124
pcb3,positive_alpha_0,0.46132777046179446,0.8850379239347008,0.46034773368740556,201,53933124
pcb3,signed_alpha_0,0.46132777046179446,0.8850379239347008,0.46034773368740556,201,53933124
pcb3,positive_alpha_0.125,0.48413903509333756,0.9653228461677948,0.39618986326070565,201,53933124
pcb3,signed_alpha_0.125,0.49389022427121376,0.9702103486773513,0.3883329249214177,201,53933124
pcb3,positive_alpha_0.25,0.49516841468451434,0.9770394553054199,0.36611123153226294,201,53933124
pcb3,signed_alpha_0.25,0.5030470555628914,0.9874849476046839,0.35174866079987577,201,53933124
pcb3,positive_alpha_0.5,0.5047207524094988,0.9890000864802176,0.41655634840329486,201,53933124
pcb3,signed_alpha_0.5,0.5034786033602459,0.9923528253042165,0.395673762803054,201,53933124
pcb3,positive_alpha_1,0.4313978590562455,0.9927111750780427,0.6007239252180603,201,53933124
pcb3,signed_alpha_1,0.43088386065202106,0.9932510474511443,0.5584836777169906,201,53933124
pcb4,native,0.5094529989458313,0.9819559397840584,0.4040377607096487,201,53933124
pcb4,positive_alpha_0,0.5094529989458313,0.9819559397840584,0.4040377607096487,201,53933124
pcb4,signed_alpha_0,0.5094529989458313,0.9819559397840584,0.4040377607096487,201,53933124
pcb4,positive_alpha_0.125,0.5860253849965529,0.9893269888949044,0.345305563650321,201,53933124
pcb4,signed_alpha_0.125,0.6237401371261512,0.9926892793930386,0.3299150972520534,201,53933124
pcb4,positive_alpha_0.25,0.6238604166307814,0.9927760438363771,0.3205115164245539,201,53933124
pcb4,signed_alpha_0.25,0.6475121922888221,0.9949853260778816,0.2824480930964152,201,53933124
pcb4,positive_alpha_0.5,0.6475732105571099,0.9950256915973071,0.408976868610477,201,53933124
pcb4,signed_alpha_0.5,0.6507678431293826,0.9951548371208284,0.34760094059640495,201,53933124
pcb4,positive_alpha_1,0.5784200092180616,0.9951274999968694,0.7375120612519297,201,53933124
pcb4,signed_alpha_1,0.5858364681338305,0.9930500738773144,0.6211979811760917,201,53933124
pipe_fryum,native,0.8850987349479963,0.9972641570901992,0.604980529944102,150,40248600
pipe_fryum,positive_alpha_0,0.8850987349479963,0.9972641570901992,0.604980529944102,150,40248600
pipe_fryum,signed_alpha_0,0.8850987349479963,0.9972641570901992,0.604980529944102,150,40248600
pipe_fryum,positive_alpha_0.125,0.908966944339887,0.9980597086903097,0.5400476232171059,150,40248600
pipe_fryum,signed_alpha_0.125,0.9218818516346458,0.9984122230261115,0.5371318964411815,150,40248600
pipe_fryum,positive_alpha_0.25,0.9221031782907041,0.9984327251396001,0.477686453362306,150,40248600
pipe_fryum,signed_alpha_0.25,0.9296064685265099,0.9987079296316558,0.4710257869462172,150,40248600
pipe_fryum,positive_alpha_0.5,0.9298299682242204,0.9987207079952005,0.45895727376143136,150,40248600
pipe_fryum,signed_alpha_0.5,0.9032662157337643,0.9982677705661538,0.4491512554883957,150,40248600
pipe_fryum,positive_alpha_1,0.8753158436948679,0.9981999344745863,0.74057288924853,150,40248600
pipe_fryum,signed_alpha_1,0.8104161993510465,0.9941041537380605,0.7273372769355774,150,40248600
candle,signed_radius,0.5305186858579758,0.9969563714144465,0.4949806858599186,200,53664800
capsules,signed_radius,0.7839816064011187,0.9982520811395654,0.6104699430987239,160,42931840
cashew,signed_radius,0.8939983778231,0.9967789182356914,0.701296353340149,150,40248600
chewinggum,signed_radius,0.8025373453604883,0.9969987137023089,0.6183220734198888,150,40248600
fryum,signed_radius,0.8023301438315563,0.9941715870591845,0.7804751469691594,150,40248600
macaroni1,signed_radius,0.21662910709202193,0.9973940765598223,0.5083699518442154,200,53664800
macaroni2,signed_radius,0.11573583295274639,0.99633054182919,0.4922099231183529,200,53664800
pcb1,signed_radius,0.6314545423789341,0.9954020183691203,0.565094156563282,200,53664800
pcb2,signed_radius,0.28839648758652303,0.991219730528873,0.5534695491194725,200,53664800
pcb3,signed_radius,0.4305562186990191,0.993461024415038,0.5533174190355178,201,53933124
pcb4,signed_radius,0.6036002600907548,0.9940263966910228,0.606732991797414,201,53933124
pipe_fryum,signed_radius,0.821806306131162,0.9949690598506095,0.7200542004903158,150,40248600
