attempt_index,epoch,batch,file_names,image_sha256,mask_sha256,labels
10,2,10,"[""pcb1/Data/Images/Anomaly/056.JPG"", ""pcb4/Data/Images/Normal/1001.JPG"", ""macaroni1/Data/Images/Normal/0417.JPG"", ""candle/Data/Images/Normal/0735.JPG"", ""capsules/Data/Images/Anomaly/085.JPG"", ""cashew/Data/Images/Anomaly/040.JPG""]",efc29f983c43bf4b5973c66699e6be98eb323f3789956c7a61b9855828d2514b,1189aae709b6f9c177b681760e491603ef34379dfe382f9baabd6d76a27f37c8,"[1, 0, 0, 0, 1, 1]"
11,2,11,"[""chewinggum/Data/Images/Anomaly/096.JPG"", ""pcb1/Data/Images/Normal/0011.JPG"", ""pcb4/Data/Images/Normal/0621.JPG"", ""pcb2/Data/Images/Normal/0320.JPG"", ""macaroni1/Data/Images/Anomaly/048.JPG"", ""macaroni1/Data/Images/Anomaly/030.JPG""]",11ca0b9430fe5eff16268bbfb7d21e06a050dbf912b6219b05a35c5e8e4caee5,bc5c5b0666bb58f8e2b3906d9b6cac828b8d350f32f3f7780b764a9ec091f29b,"[1, 0, 0, 0, 1, 1]"
12,2,12,"[""macaroni2/Data/Images/Anomaly/075.JPG"", ""capsules/Data/Images/Anomaly/097.JPG"", ""pcb1/Data/Images/Normal/0688.JPG"", ""macaroni2/Data/Images/Normal/0615.JPG"", ""macaroni1/Data/Images/Normal/0654.JPG"", ""pcb1/Data/Images/Anomaly/070.JPG""]",17a4e3edb79196457d1d3f51269eecb439bf00ccfeb2029b0f517a03a1eb9ab1,7aa5815fbd648713de3ba3b3cd51032542d5040e88a3f4f6765fc852d0feb08e,"[1, 1, 0, 0, 0, 1]"
13,2,13,"[""chewinggum/Data/Images/Normal/392.JPG"", ""candle/Data/Images/Anomaly/035.JPG"", ""macaroni2/Data/Images/Normal/0953.JPG"", ""candle/Data/Images/Normal/0545.JPG"", ""chewinggum/Data/Images/Anomaly/064.JPG"", ""pcb1/Data/Images/Normal/0629.JPG""]",25c7e883eae19f28060d76c717cf6a1259aa47213d5cefe21e86b67a7087351b,9ef7aa12679db69772c57ff3ff9e6eb102e11e52bb02f481fd840e152184726d,"[0, 1, 0, 0, 1, 0]"
14,2,14,"[""capsules/Data/Images/Normal/196.JPG"", ""pcb1/Data/Images/Anomaly/066.JPG"", ""pcb2/Data/Images/Anomaly/073.JPG"", ""pcb3/Data/Images/Normal/0394.JPG"", ""pcb2/Data/Images/Anomaly/014.JPG"", ""candle/Data/Images/Normal/0215.JPG""]",c038e228bef60dc00cfb1f218cc6c22e4553d994ac62ea226f6fd164851fc3f3,946f38cb55263b00a97a72447689c03c493feac60cca0062f9f758216ef040ea,"[0, 1, 1, 0, 1, 0]"
15,2,15,"[""pcb4/Data/Images/Normal/0900.JPG"", ""pcb2/Data/Images/Anomaly/005.JPG"", ""cashew/Data/Images/Anomaly/017.JPG"", ""macaroni2/Data/Images/Anomaly/026.JPG"", ""pipe_fryum/Data/Images/Anomaly/002.JPG"", ""chewinggum/Data/Images/Anomaly/047.JPG""]",77b4c725d87cad31b5ca366fc3eed9dc8c7691eebeb0ba4e0ff62e8ed232741f,cdbbb1b27d2ed35793b9f8c5738182aabdf215f55c26573063d9232168d58e5a,"[0, 1, 1, 1, 1, 1]"
16,2,16,"[""chewinggum/Data/Images/Anomaly/005.JPG"", ""pipe_fryum/Data/Images/Anomaly/001.JPG"", ""macaroni1/Data/Images/Normal/0159.JPG"", ""macaroni2/Data/Images/Normal/0811.JPG"", ""candle/Data/Images/Normal/0654.JPG"", ""pcb4/Data/Images/Normal/0174.JPG""]",cf1e241948cee6d5c89a2fbcab57086460151f370d9afe6bcf07fab19ac65872,fcbf6b5a7f337c9899b6ba0d1dfbdec5e71d2f6b66cb609c83b25cda79907144,"[1, 1, 0, 0, 0, 0]"
17,2,17,"[""pcb4/Data/Images/Anomaly/070.JPG"", ""fryum/Data/Images/Anomaly/034.JPG"", ""macaroni1/Data/Images/Normal/0377.JPG"", ""pipe_fryum/Data/Images/Anomaly/067.JPG"", ""cashew/Data/Images/Normal/446.JPG"", ""macaroni2/Data/Images/Anomaly/084.JPG""]",97c8fcd152c73acd43a88b7f6d82275f9a76d342e0b7ee3d4c043612abfafedc,830f625ae789f33e7e188931e86b2ad9cfc152770f3172328381cd0c8dcfb63d,"[1, 1, 0, 1, 0, 1]"
18,2,18,"[""pcb2/Data/Images/Anomaly/007.JPG"", ""pcb3/Data/Images/Anomaly/004.JPG"", ""capsules/Data/Images/Anomaly/046.JPG"", ""pipe_fryum/Data/Images/Anomaly/059.JPG"", ""pcb3/Data/Images/Normal/0520.JPG"", ""pipe_fryum/Data/Images/Anomaly/068.JPG""]",ebc0c8ddb37747b9f7559d5d0f0783f7f93dd32938f154f5425070bc0d986cb3,84292c6a7913d9f85007f15e0c60bdfa3709cd09d2719dc11202e686d4d33b90,"[1, 1, 1, 1, 0, 1]"
19,2,19,"[""pcb2/Data/Images/Normal/0457.JPG"", ""macaroni1/Data/Images/Anomaly/021.JPG"", ""pcb2/Data/Images/Anomaly/082.JPG"", ""candle/Data/Images/Normal/0172.JPG"", ""capsules/Data/Images/Anomaly/055.JPG"", ""pcb4/Data/Images/Anomaly/024.JPG""]",7691db4261fb24d1c766c15056c918dd09824874a4c37b41c614a13471abcab7,c95361733c0dd59d647a4a62f45bfd245ce5ab825538b8f464d82d19327b1bb8,"[0, 1, 1, 0, 1, 1]"
20,2,20,"[""pcb3/Data/Images/Normal/0306.JPG"", ""cashew/Data/Images/Anomaly/061.JPG"", ""macaroni2/Data/Images/Normal/0196.JPG"", ""candle/Data/Images/Anomaly/074.JPG"", ""macaroni1/Data/Images/Anomaly/055.JPG"", ""candle/Data/Images/Anomaly/005.JPG""]",0cbde2e1a3c8d9487060aa03b01aff5549a7602217eee9123d1d611ac7227454,00d921a7f82188a18d29fc4df7fe250945f3ee5dba93422e52581aa3df840f49,"[0, 1, 0, 1, 1, 1]"
21,2,21,"[""cashew/Data/Images/Anomaly/099.JPG"", ""pcb3/Data/Images/Normal/0958.JPG"", ""macaroni1/Data/Images/Anomaly/068.JPG"", ""pcb3/Data/Images/Normal/0725.JPG"", ""candle/Data/Images/Normal/0900.JPG"", ""pcb2/Data/Images/Anomaly/098.JPG""]",aa6b25c9ed5aecf2e985e8e3cdcc2b32127c045186a7bf711413f5785064a377,23d110ea17e665a1c85bf1c040ef93ae25f4da2c7333b217fd2d3d3de9a106fe,"[1, 0, 1, 0, 0, 1]"
22,2,22,"[""pcb3/Data/Images/Normal/0488.JPG"", ""cashew/Data/Images/Anomaly/063.JPG"", ""cashew/Data/Images/Anomaly/008.JPG"", ""pcb1/Data/Images/Normal/0971.JPG"", ""pcb4/Data/Images/Normal/0764.JPG"", ""pcb1/Data/Images/Anomaly/039.JPG""]",727a40066cf4aa4851f14ece705f854ab1f387deee24a4fc3203afaf6549739d,e2bb92e6be00948b6e2cf88bb24eb5b2c931a70c6e142db27725e7cff97b6c34,"[0, 1, 1, 0, 0, 1]"
23,2,23,"[""pcb3/Data/Images/Anomaly/084.JPG"", ""pcb4/Data/Images/Anomaly/036.JPG"", ""fryum/Data/Images/Anomaly/002.JPG"", ""cashew/Data/Images/Anomaly/024.JPG"", ""pcb1/Data/Images/Normal/0024.JPG"", ""capsules/Data/Images/Anomaly/060.JPG""]",a42b6648174f0147c946693e4c6942bea2f86a172e3157b651bc20331c830625,1185306024353c3c88c55836e273107e199fa3ff73b6a8d51852f0abb73e6413,"[1, 1, 1, 1, 0, 1]"
24,2,24,"[""chewinggum/Data/Images/Normal/352.JPG"", ""pcb4/Data/Images/Normal/0957.JPG"", ""macaroni2/Data/Images/Anomaly/068.JPG"", ""cashew/Data/Images/Anomaly/015.JPG"", ""pcb4/Data/Images/Normal/0170.JPG"", ""fryum/Data/Images/Anomaly/069.JPG""]",3d0dfa9d58e3628e3085328a636a4b92dc60ca13442302c8715f3af467dbd29a,d7856183cff471a3525b7fd947036b690d24ff24d0d1ce513405f28025e6c1db,"[0, 0, 1, 1, 0, 1]"
25,2,25,"[""fryum/Data/Images/Normal/148.JPG"", ""candle/Data/Images/Anomaly/004.JPG"", ""pipe_fryum/Data/Images/Anomaly/097.JPG"", ""macaroni1/Data/Images/Anomaly/086.JPG"", ""chewinggum/Data/Images/Anomaly/076.JPG"", ""chewinggum/Data/Images/Anomaly/025.JPG""]",82a107226f859b3be335aac265dea4ac5044c53f273d4eab4efe3f86baba9441,41c274492b963790e238f8a4487bee7b7b53c1b0f737a8d79d0fc632be1f1605,"[0, 1, 1, 1, 1, 1]"
26,2,26,"[""pipe_fryum/Data/Images/Anomaly/022.JPG"", ""pcb1/Data/Images/Normal/0892.JPG"", ""pipe_fryum/Data/Images/Anomaly/053.JPG"", ""candle/Data/Images/Normal/0208.JPG"", ""pcb4/Data/Images/Normal/0755.JPG"", ""macaroni1/Data/Images/Anomaly/014.JPG""]",e22e29b3ca7f198bdd73242e3c1ad84087fc62872a41999a0a24f059ed07b310,1e1da47c80a59b2133c2be1a5da6b31217dbdd92bc767f356af87fe0fcd30433,"[1, 0, 1, 0, 0, 1]"
27,2,27,"[""pcb4/Data/Images/Anomaly/092.JPG"", ""pcb4/Data/Images/Normal/0768.JPG"", ""pcb4/Data/Images/Anomaly/054.JPG"", ""fryum/Data/Images/Normal/006.JPG"", ""macaroni1/Data/Images/Anomaly/065.JPG"", ""fryum/Data/Images/Normal/012.JPG""]",6e8b6b451cc4513f672cf25cbe4948906f213c92174e1e53e52d15624b348180,a3dfe06fbf59084ef060cb97f096797adef82b1b812b5d066759b5b9cecf1b47,"[1, 0, 1, 0, 1, 0]"
28,2,28,"[""pcb1/Data/Images/Normal/0804.JPG"", ""pcb3/Data/Images/Normal/0974.JPG"", ""chewinggum/Data/Images/Anomaly/099.JPG"", ""pcb1/Data/Images/Normal/0303.JPG"", ""pcb1/Data/Images/Anomaly/069.JPG"", ""fryum/Data/Images/Anomaly/019.JPG""]",f2ceeb8074058420f9f9c1e938277fb9f2001576135a14f8d3957e2760126fc8,f4e0018e78391490ea1b41ed626f498315f69dbb77eff62b517b4e7243fed855,"[0, 0, 1, 0, 1, 1]"
29,2,29,"[""macaroni2/Data/Images/Anomaly/000.JPG"", ""candle/Data/Images/Normal/0705.JPG"", ""pcb2/Data/Images/Normal/0417.JPG"", ""pcb4/Data/Images/Normal/0800.JPG"", ""candle/Data/Images/Anomaly/006.JPG"", ""macaroni2/Data/Images/Normal/0684.JPG""]",205458257902663305c1cfa06b7f97848b90eb7c4292517c3d77057f2a709550,511e7027b16531d28c045f018d01aaa9a111909448c6fd1c8ccdd3deb79325f3,"[1, 0, 0, 0, 1, 0]"
30,2,30,"[""macaroni1/Data/Images/Anomaly/000.JPG"", ""chewinggum/Data/Images/Anomaly/078.JPG"", ""pcb2/Data/Images/Normal/0730.JPG"", ""macaroni2/Data/Images/Anomaly/081.JPG"", ""pcb1/Data/Images/Normal/0755.JPG"", ""macaroni2/Data/Images/Normal/0920.JPG""]",7f67f7be1ec756a7e43f47945d80a0465be3f57b8261f9ea762bcee4e70763e5,3d4e2cd0fe0be657c406d5b65ba197f9a10d61a94ee186c57e62c69f39e95441,"[1, 1, 0, 1, 0, 0]"
31,2,31,"[""macaroni1/Data/Images/Anomaly/032.JPG"", ""pcb4/Data/Images/Anomaly/004.JPG"", ""pcb3/Data/Images/Anomaly/063.JPG"", ""fryum/Data/Images/Normal/342.JPG"", ""chewinggum/Data/Images/Normal/324.JPG"", ""cashew/Data/Images/Normal/369.JPG""]",d7fa2c484b0957415740f3450e5db03e9550209792c4c68bd398bd3be33f365a,b4c8ca2465865ef9cdddb813f9a9634f9d5fd5b22eb571ae9deb69e5c48e8870,"[1, 1, 1, 0, 0, 0]"
32,2,32,"[""cashew/Data/Images/Anomaly/038.JPG"", ""pcb2/Data/Images/Normal/0892.JPG"", ""pcb2/Data/Images/Normal/0024.JPG"", ""chewinggum/Data/Images/Anomaly/094.JPG"", ""pcb3/Data/Images/Anomaly/046.JPG"", ""pcb1/Data/Images/Anomaly/079.JPG""]",044379c57cdc14ec344ed1b050d6377ea0c67f4e1329ce37730dbdd08c7b4b75,53d3ab1ed7fe736de68fe2effaa576983867f979b4725a851a2495295ac0432d,"[1, 0, 0, 1, 1, 1]"
33,2,33,"[""macaroni2/Data/Images/Anomaly/023.JPG"", ""fryum/Data/Images/Normal/284.JPG"", ""capsules/Data/Images/Normal/178.JPG"", ""fryum/Data/Images/Anomaly/022.JPG"", ""macaroni1/Data/Images/Normal/0514.JPG"", ""pcb4/Data/Images/Normal/0294.JPG""]",43d5d52a5cd0d0d8ad893feb884d97ef34a36c93b1bf8eb68decbc74dd41c4ab,9fb2e56912d4eba32de9407f3c7a28d43bb77449ff2ebba53f9b2f9d55a4751d,"[1, 0, 0, 1, 0, 0]"
34,2,34,"[""candle/Data/Images/Normal/0484.JPG"", ""pcb1/Data/Images/Anomaly/095.JPG"", ""pcb4/Data/Images/Anomaly/032.JPG"", ""macaroni2/Data/Images/Anomaly/040.JPG"", ""pcb1/Data/Images/Anomaly/078.JPG"", ""pipe_fryum/Data/Images/Anomaly/049.JPG""]",56eb8b6aea0144d0337ece4ee3bc7b11b4a43692e763194e1f8b1bd59c2154b4,96448a1bd6e8f4adc92ce335faf9893c523f8a5b0693051ad8411a04a6c53e57,"[0, 1, 1, 1, 1, 1]"
35,2,35,"[""capsules/Data/Images/Anomaly/012.JPG"", ""cashew/Data/Images/Normal/482.JPG"", ""pcb2/Data/Images/Normal/0659.JPG"", ""pcb4/Data/Images/Normal/0400.JPG"", ""pcb1/Data/Images/Normal/0685.JPG"", ""macaroni1/Data/Images/Normal/0261.JPG""]",37299aa9b41b08958c6bb75fa80183c88dc9cbf0f82c5fba75245fec4166d3fd,54300d3d01eaa68e312e45d4f8e15fede8eb77a8d7bd9a6369c5aa17a3951d12,"[1, 0, 0, 0, 0, 0]"
36,2,36,"[""macaroni2/Data/Images/Anomaly/097.JPG"", ""pcb2/Data/Images/Anomaly/025.JPG"", ""candle/Data/Images/Normal/0333.JPG"", ""chewinggum/Data/Images/Anomaly/024.JPG"", ""pcb4/Data/Images/Anomaly/075.JPG"", ""capsules/Data/Images/Anomaly/072.JPG""]",5c1c0907576cf1b7f16fbc29e2e2ec25f36cb5c69121ed60346024e436b3b8fd,f317ae9349f3ade4ec91e1dd75674a00a2f8dfb18fad1b9fc0da095b357fccaf,"[1, 1, 0, 1, 1, 1]"
37,2,37,"[""pcb2/Data/Images/Anomaly/010.JPG"", ""candle/Data/Images/Normal/0796.JPG"", ""cashew/Data/Images/Anomaly/048.JPG"", ""pipe_fryum/Data/Images/Normal/435.JPG"", ""pcb1/Data/Images/Anomaly/094.JPG"", ""chewinggum/Data/Images/Anomaly/029.JPG""]",d7d6be584fbae092042fc6f6f7c5c7fc4cd87f76ee0d1bfe36a39c15a20cdf7b,d85bfafd80b0452096293e76bc7575f3595f571eb3cf0088ff70a917bc3b36fe,"[1, 0, 1, 0, 1, 1]"
38,2,38,"[""capsules/Data/Images/Anomaly/083.JPG"", ""chewinggum/Data/Images/Normal/272.JPG"", ""chewinggum/Data/Images/Normal/130.JPG"", ""cashew/Data/Images/Anomaly/076.JPG"", ""pcb4/Data/Images/Normal/0629.JPG"", ""fryum/Data/Images/Anomaly/014.JPG""]",fb045e0f361ea56946d4918e050ac18a69143584e21d30f6d7880774b06df0b9,a9e848b28a70a0fd6cf0770f2ec4003ef435d01dbc8d002b99ab4f4e4c7e25d8,"[1, 0, 0, 1, 0, 1]"
39,2,39,"[""pcb1/Data/Images/Anomaly/049.JPG"", ""macaroni1/Data/Images/Anomaly/064.JPG"", ""chewinggum/Data/Images/Anomaly/085.JPG"", ""pcb1/Data/Images/Normal/0479.JPG"", ""capsules/Data/Images/Anomaly/014.JPG"", ""capsules/Data/Images/Normal/016.JPG""]",066ec3db23e4830402ddfbd244087bd800c766bfd7fdeca7a370e00a958e002d,b188317b902d796699428b3cb820bada572d9cbb156f3e24282465cfa22de3bd,"[1, 1, 1, 0, 1, 0]"
40,2,40,"[""pcb1/Data/Images/Anomaly/052.JPG"", ""capsules/Data/Images/Normal/179.JPG"", ""pcb1/Data/Images/Normal/0615.JPG"", ""chewinggum/Data/Images/Normal/093.JPG"", ""macaroni2/Data/Images/Normal/0172.JPG"", ""candle/Data/Images/Anomaly/073.JPG""]",a979b826765966b8bb883543fc0971d2c5c92bbf4000cc2d4f5d81f93a85fa03,8a856a2b603fcee830bf2183dfe51824c6df66d7892f5c4835a93ecd79bdc6d7,"[1, 0, 0, 0, 0, 1]"
41,2,41,"[""candle/Data/Images/Normal/0514.JPG"", ""fryum/Data/Images/Normal/143.JPG"", ""pcb3/Data/Images/Anomaly/034.JPG"", ""macaroni1/Data/Images/Anomaly/083.JPG"", ""macaroni2/Data/Images/Anomaly/078.JPG"", ""macaroni2/Data/Images/Anomaly/076.JPG""]",c9061f6b60879929fd48c06d6e9555462e4bac28e6ca42fb919b474e7a0e98c6,ceeaf59956ebebe4b848735ea48fc993b083afde7ff52870e2c9718298129035,"[0, 0, 1, 1, 1, 1]"
42,2,42,"[""pcb1/Data/Images/Normal/0920.JPG"", ""macaroni1/Data/Images/Anomaly/010.JPG"", ""capsules/Data/Images/Anomaly/010.JPG"", ""pcb4/Data/Images/Normal/0469.JPG"", ""pcb4/Data/Images/Anomaly/040.JPG"", ""pcb3/Data/Images/Normal/0659.JPG""]",f750fb393058b138c78bec8b5e6c011f224df07d1a90ced27787b9af949755f8,299a4415622729e596d8a3921f2f4212402f6e79f79deb2bb0105ac80dd17e2e,"[0, 1, 1, 0, 1, 0]"
43,2,43,"[""fryum/Data/Images/Anomaly/074.JPG"", ""pcb2/Data/Images/Anomaly/035.JPG"", ""capsules/Data/Images/Anomaly/067.JPG"", ""capsules/Data/Images/Anomaly/026.JPG"", ""capsules/Data/Images/Anomaly/048.JPG"", ""pcb3/Data/Images/Anomaly/022.JPG""]",9a07371bd956782979f09c384bfae6a2a1ad9e57a9d9d2c0447367615ebe75e3,1cf49c1b5e0b23c70905df612d2fa1ec201c7f0e6878a33d89388c854fd26050,"[1, 1, 1, 1, 1, 1]"
44,2,44,"[""candle/Data/Images/Anomaly/072.JPG"", ""pipe_fryum/Data/Images/Anomaly/092.JPG"", ""pcb2/Data/Images/Anomaly/054.JPG"", ""pcb2/Data/Images/Anomaly/062.JPG"", ""fryum/Data/Images/Anomaly/099.JPG"", ""cashew/Data/Images/Anomaly/006.JPG""]",ba7b5d599c8d945c0af6948ba1d3f320f08d80e8d7575cc30ead864d64cd2ebd,af8fd9aab681956dc12c77c24ec77ef1edc9b32e8d15aed4c86b0c2b0c22dd59,"[1, 1, 1, 1, 1, 1]"
45,2,45,"[""pcb1/Data/Images/Anomaly/068.JPG"", ""pipe_fryum/Data/Images/Normal/460.JPG"", ""candle/Data/Images/Anomaly/077.JPG"", ""pcb1/Data/Images/Normal/0294.JPG"", ""macaroni2/Data/Images/Normal/0011.JPG"", ""macaroni1/Data/Images/Anomaly/094.JPG""]",5448fb553a67336335590020cccc057ea3646db6904485f0010fc83a168a27c8,c92c0961d0130b93a30d7c9d610ac0a6e8e2fd904fa5e71caac16633288ac54c,"[1, 0, 1, 0, 0, 1]"
46,2,46,"[""pipe_fryum/Data/Images/Anomaly/064.JPG"", ""macaroni1/Data/Images/Normal/0026.JPG"", ""pcb1/Data/Images/Anomaly/093.JPG"", ""capsules/Data/Images/Normal/100.JPG"", ""chewinggum/Data/Images/Normal/402.JPG"", ""macaroni1/Data/Images/Normal/0797.JPG""]",3bc4946b49929258d172c66f559453c41001f190772e3d631e2e212fc308dc5e,b5df6b9aba533ec310419088bdf695eb228fdabdb4948b877973063b64d1df71,"[1, 0, 1, 0, 0, 0]"
47,2,47,"[""macaroni2/Data/Images/Normal/0046.JPG"", ""pcb3/Data/Images/Normal/0648.JPG"", ""candle/Data/Images/Anomaly/009.JPG"", ""pcb4/Data/Images/Anomaly/088.JPG"", ""macaroni1/Data/Images/Normal/0046.JPG"", ""cashew/Data/Images/Anomaly/032.JPG""]",9f1542a375af54d6c24d5cebaa2fabb4a2b284d189cfba9fa61184e37554b0f0,4b5b610b9453daebde26da980e104abfad96687d6b27a07bb9754c1ae844006c,"[0, 0, 1, 1, 0, 1]"
48,2,48,"[""capsules/Data/Images/Anomaly/044.JPG"", ""macaroni1/Data/Images/Anomaly/058.JPG"", ""pipe_fryum/Data/Images/Anomaly/006.JPG"", ""fryum/Data/Images/Normal/166.JPG"", ""macaroni2/Data/Images/Normal/0694.JPG"", ""pcb2/Data/Images/Normal/0402.JPG""]",7613108e7c5440c6b02c858a9d2de74e5c959466959c9d9953fffa77ec08e4b2,c5ca4d58f5d1378e9a9e9face2eb02a40b17dbbd32078c9d97c22f6e5d0b536c,"[1, 1, 1, 0, 0, 0]"
49,2,49,"[""macaroni2/Data/Images/Normal/0739.JPG"", ""pcb1/Data/Images/Normal/0735.JPG"", ""candle/Data/Images/Anomaly/010.JPG"", ""candle/Data/Images/Normal/0552.JPG"", ""candle/Data/Images/Anomaly/042.JPG"", ""pcb1/Data/Images/Anomaly/028.JPG""]",313c8b511e5ccb553d3af5e892541eaae5b20dbc9814e9ab823b451350336646,24ead65165137fcfa142ff3c95d72fa721903761b63b90a61b3c9ab2fcc44b2b,"[0, 0, 1, 0, 1, 1]"
50,2,50,"[""cashew/Data/Images/Anomaly/002.JPG"", ""cashew/Data/Images/Anomaly/013.JPG"", ""pcb2/Data/Images/Normal/0159.JPG"", ""candle/Data/Images/Anomaly/086.JPG"", ""capsules/Data/Images/Anomaly/024.JPG"", ""fryum/Data/Images/Normal/098.JPG""]",08334d9c917ff1557d92bd77a63d07328b04c161bd43406d5a5375777e0cd04f,062c5e31b4d9a1c657e6fc44c9e7a2b50c8ba47707757ddb646d930e9f4fab35,"[1, 1, 0, 1, 1, 0]"
51,2,51,"[""macaroni2/Data/Images/Anomaly/035.JPG"", ""macaroni1/Data/Images/Anomaly/060.JPG"", ""pcb2/Data/Images/Normal/0688.JPG"", ""pcb2/Data/Images/Anomaly/070.JPG"", ""pcb2/Data/Images/Anomaly/011.JPG"", ""macaroni1/Data/Images/Anomaly/008.JPG""]",cb6d0b98dd7f31838c23717de1744beadf2916b9a9f4fad8ea83ec859e43dd6d,efb931e973e3e10adb6b8512aade7ea8b39cbb2dd72910e4a970da600ef46fc5,"[1, 1, 0, 1, 1, 1]"
