category,label_type,manifest_position,file_name,role
pcb2,anomaly,4,pcb2/Data/Images/Anomaly/034.JPG,CALIBRATION
chewinggum,normal,1,chewinggum/Data/Images/Normal/307.JPG,CALIBRATION
chewinggum,normal,2,chewinggum/Data/Images/Normal/006.JPG,CALIBRATION
chewinggum,normal,3,chewinggum/Data/Images/Normal/377.JPG,CALIBRATION
chewinggum,normal,4,chewinggum/Data/Images/Normal/244.JPG,CALIBRATION
chewinggum,anomaly,1,chewinggum/Data/Images/Anomaly/074.JPG,CALIBRATION
chewinggum,anomaly,2,chewinggum/Data/Images/Anomaly/006.JPG,CALIBRATION
chewinggum,anomaly,3,chewinggum/Data/Images/Anomaly/008.JPG,CALIBRATION
chewinggum,anomaly,4,chewinggum/Data/Images/Anomaly/045.JPG,CALIBRATION
macaroni1,normal,1,macaroni1/Data/Images/Normal/0920.JPG,CALIBRATION
macaroni1,normal,2,macaroni1/Data/Images/Normal/0654.JPG,CALIBRATION
macaroni1,normal,3,macaroni1/Data/Images/Normal/0935.JPG,CALIBRATION
macaroni1,normal,4,macaroni1/Data/Images/Normal/0617.JPG,CALIBRATION
macaroni1,anomaly,1,macaroni1/Data/Images/Anomaly/017.JPG,CALIBRATION
macaroni1,anomaly,2,macaroni1/Data/Images/Anomaly/086.JPG,CALIBRATION
macaroni1,anomaly,3,macaroni1/Data/Images/Anomaly/045.JPG,CALIBRATION
macaroni1,anomaly,4,macaroni1/Data/Images/Anomaly/039.JPG,CALIBRATION
cashew,normal,1,cashew/Data/Images/Normal/130.JPG,CALIBRATION
cashew,normal,2,cashew/Data/Images/Normal/166.JPG,CALIBRATION
cashew,normal,3,cashew/Data/Images/Normal/460.JPG,CALIBRATION
cashew,normal,4,cashew/Data/Images/Normal/089.JPG,CALIBRATION
cashew,anomaly,1,cashew/Data/Images/Anomaly/054.JPG,CALIBRATION
cashew,anomaly,2,cashew/Data/Images/Anomaly/077.JPG,CALIBRATION
cashew,anomaly,3,cashew/Data/Images/Anomaly/081.JPG,CALIBRATION
cashew,anomaly,4,cashew/Data/Images/Anomaly/041.JPG,CALIBRATION
fryum,normal,1,fryum/Data/Images/Normal/389.JPG,CALIBRATION
fryum,normal,2,fryum/Data/Images/Normal/446.JPG,CALIBRATION
fryum,normal,3,fryum/Data/Images/Normal/084.JPG,CALIBRATION
fryum,normal,4,fryum/Data/Images/Normal/398.JPG,CALIBRATION
fryum,anomaly,1,fryum/Data/Images/Anomaly/009.JPG,CALIBRATION
fryum,anomaly,2,fryum/Data/Images/Anomaly/020.JPG,CALIBRATION
fryum,anomaly,3,fryum/Data/Images/Anomaly/060.JPG,CALIBRATION
fryum,anomaly,4,fryum/Data/Images/Anomaly/028.JPG,CALIBRATION
pcb1,normal,1,pcb1/Data/Images/Normal/0215.JPG,CALIBRATION
pcb1,normal,2,pcb1/Data/Images/Normal/0488.JPG,CALIBRATION
pcb1,normal,3,pcb1/Data/Images/Normal/0027.JPG,CALIBRATION
pcb1,normal,4,pcb1/Data/Images/Normal/0615.JPG,CALIBRATION
pcb1,anomaly,1,pcb1/Data/Images/Anomaly/043.JPG,CALIBRATION
pcb1,anomaly,2,pcb1/Data/Images/Anomaly/068.JPG,CALIBRATION
pcb1,anomaly,3,pcb1/Data/Images/Anomaly/001.JPG,CALIBRATION
pcb1,anomaly,4,pcb1/Data/Images/Anomaly/057.JPG,CALIBRATION
