class_name,file_name,label,pixel_ap,pixel_auroc,positive_pixels,negative_pixels,mean_D_logit,p95_D_logit,mean_D_rank,p95_D_rank,mean_U_conf
pcb1,pcb1/Data/Images/Normal/0615.JPG,0,,,0,268324,0.1881372034549713,0.8564767837524414,0.19722296297550201,0.33036813139915466,-19.386951446533203
pcb1,pcb1/Data/Images/Anomaly/063.JPG,1,0.4032689731187941,0.9979868588674964,518,267806,4.077701091766357,7.819128036499023,0.17157618701457977,0.30356255173683167,-16.3919677734375
pcb1,pcb1/Data/Images/Anomaly/057.JPG,1,0.00888585455151201,0.8044981437308653,678,267646,4.342538833618164,7.834030628204346,0.1781664490699768,0.3103847801685333,-16.28563690185547
pcb2,pcb2/Data/Images/Normal/0377.JPG,0,,,0,268324,0.2710367441177368,0.9502619504928589,0.18741318583488464,0.3263249397277832,-19.2794132232666
pcb2,pcb2/Data/Images/Normal/0363.JPG,0,,,0,268324,0.2329997569322586,0.942695140838623,0.18312019109725952,0.3263973891735077,-19.34789276123047
pcb2,pcb2/Data/Images/Anomaly/091.JPG,1,0.3479280446675373,0.9971581205501351,738,267586,3.429337739944458,7.169053554534912,0.1742045134305954,0.3094934821128845,-16.818771362304688
pcb2,pcb2/Data/Images/Anomaly/066.JPG,1,0.36830294033348077,0.9671051783153273,619,267705,4.0148773193359375,7.9455485343933105,0.1749599128961563,0.30319204926490784,-16.469688415527344
pcb3,pcb3/Data/Images/Normal/0423.JPG,0,,,0,268324,0.27219295501708984,1.2599836587905884,0.17928098142147064,0.3227745294570923,-19.365320205688477
pcb3,pcb3/Data/Images/Normal/0172.JPG,0,,,0,268324,0.25760892033576965,1.1635279655456543,0.18486031889915466,0.323371946811676,-19.371444702148438
pcb3,pcb3/Data/Images/Anomaly/022.JPG,1,0.6774211092785596,0.9977042445423302,605,267719,5.124547004699707,10.87303638458252,0.14819525182247162,0.27772387862205505,-15.648386001586914
pcb3,pcb3/Data/Images/Anomaly/099.JPG,1,0.303213493938054,0.9951480687604946,633,267691,3.4197826385498047,9.566508293151855,0.1536748707294464,0.2834886908531189,-16.78558921813965
pcb4,pcb4/Data/Images/Normal/0552.JPG,0,,,0,268324,0.34647536277770996,1.7407231330871582,0.16188737750053406,0.28385448455810547,-19.30954933166504
pcb4,pcb4/Data/Images/Normal/0208.JPG,0,,,0,268324,0.32837843894958496,1.7286075353622437,0.1632935255765915,0.2890286147594452,-19.330625534057617
pcb4,pcb4/Data/Images/Anomaly/002.JPG,1,0.8824108616065053,0.9970588195571511,6946,261378,2.0034449100494385,6.7322540283203125,0.13953429460525513,0.2500574588775635,-17.350833892822266
pcb4,pcb4/Data/Images/Anomaly/094.JPG,1,0.026374587665652406,0.9330026229162188,1046,267278,7.029910087585449,10.835723876953125,0.15350458025932312,0.2720484733581543,-14.193257331848145
pipe_fryum,pipe_fryum/Data/Images/Normal/405.JPG,0,,,0,268324,0.21768133342266083,0.7179216742515564,0.20638497173786163,0.35947972536087036,-19.382322311401367
pipe_fryum,pipe_fryum/Data/Images/Normal/344.JPG,0,,,0,268324,0.21848326921463013,0.8503304719924927,0.20948386192321777,0.3615577220916748,-19.379331588745117
pipe_fryum,pipe_fryum/Data/Images/Anomaly/074.JPG,1,0.4224655329844269,0.9969338674222085,504,267820,1.4212483167648315,2.8474347591400146,0.20700405538082123,0.3372061848640442,-18.352731704711914
pipe_fryum,pipe_fryum/Data/Images/Anomaly/022.JPG,1,0.6996486281356007,0.9991392374774308,413,267911,1.7030647993087769,3.383239507675171,0.2104215919971466,0.3393264412879944,-18.12457847595215
