cell_id,scope,method,epoch,target,status,cell_path,cell_sha256,checkpoint_sha256,n_images,updated_at
medical__PA__E10__Retina,medical,PA,10,Retina,COMPLETE,cells/medical__PA__E10__Retina.json,71697e15cad7ad447eeddb5e39273c846f80a9d387a4af2192cf3260932905ce,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,1805,2026-08-31T23:59:17Z
medical__PA__E12__Retina,medical,PA,12,Retina,COMPLETE,cells/medical__PA__E12__Retina.json,d059bdcd99a98a3bdfa76710e5c51a7ae81dab44728c759b16a2f6a4654b5072,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,1805,2026-09-01T00:04:03Z
medical__PA__E14__Retina,medical,PA,14,Retina,COMPLETE,cells/medical__PA__E14__Retina.json,6885853ed1efe214456b218fc89eef57142906f89d5a49cb4f388dad980c9e8a,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,1805,2026-09-01T00:08:50Z
medical__PA__E16__Retina,medical,PA,16,Retina,COMPLETE,cells/medical__PA__E16__Retina.json,b0ec30828ba3cbeead8afe78f767cd990a93b1a2e6339ba3f6b3d74da9cb37e5,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,1805,2026-09-01T00:13:36Z
medical__PA__E18__Retina,medical,PA,18,Retina,COMPLETE,cells/medical__PA__E18__Retina.json,0f6ed54d5f3cc65c26750cf94762af891fde3ae674d21f73b783f6c8df41fd8d,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,1805,2026-09-01T00:18:24Z
medical__PA__E20__Retina,medical,PA,20,Retina,COMPLETE,cells/medical__PA__E20__Retina.json,88b204a015e706e91a7e0ef35c2acdc6126d0562e0a243c2f3e6e9bcbc0918d5,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,1805,2026-09-01T00:23:09Z
medical__PA__E10__Colon_clinicDB,medical,PA,10,Colon_clinicDB,COMPLETE,cells/medical__PA__E10__Colon_clinicDB.json,e21187adafc898037d72a30af9667723a4b7a0603eef3277dee4ae8d4b5376e0,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,612,2026-09-01T00:24:53Z
medical__PA__E12__Colon_clinicDB,medical,PA,12,Colon_clinicDB,COMPLETE,cells/medical__PA__E12__Colon_clinicDB.json,35fbfc82a6b89c0103786b21f9e48f9852ece677d2f5a0433a4175a44e0d05be,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,612,2026-09-01T00:26:33Z
medical__PA__E14__Colon_clinicDB,medical,PA,14,Colon_clinicDB,COMPLETE,cells/medical__PA__E14__Colon_clinicDB.json,691c8e4d6cb51f59209de4d764a612774c1299cb5bbd04a67a1e2d1b3e034c60,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,612,2026-09-01T00:28:15Z
medical__PA__E16__Colon_clinicDB,medical,PA,16,Colon_clinicDB,COMPLETE,cells/medical__PA__E16__Colon_clinicDB.json,ba125b5f2a8c716625fa67fe4106f7526ef9d27169b8090073bf3b69f6933a86,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,612,2026-09-01T00:29:58Z
medical__PA__E18__Colon_clinicDB,medical,PA,18,Colon_clinicDB,COMPLETE,cells/medical__PA__E18__Colon_clinicDB.json,60f4e8863e80ffac72a477ff5584a367122bcdf63e394ad5aba291590d038872,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,612,2026-09-01T00:31:42Z
medical__PA__E20__Colon_clinicDB,medical,PA,20,Colon_clinicDB,COMPLETE,cells/medical__PA__E20__Colon_clinicDB.json,717b718e81842746376b5e7083fe561b14f4a1c535719d2e313b372bd62f6e80,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,612,2026-09-01T00:33:23Z
medical__PA__E10__Colon_colonDB,medical,PA,10,Colon_colonDB,COMPLETE,cells/medical__PA__E10__Colon_colonDB.json,00d2cc1995747f9d95bca4ef692c3f3ea552e642fa0d6196ee9b7ea97fa725fe,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,380,2026-09-01T00:34:28Z
medical__PA__E12__Colon_colonDB,medical,PA,12,Colon_colonDB,COMPLETE,cells/medical__PA__E12__Colon_colonDB.json,5b42e87b520bf1594f6da55e5117207217c4d53db549b0f535c6922aae76f94c,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,380,2026-09-01T00:35:32Z
medical__PA__E14__Colon_colonDB,medical,PA,14,Colon_colonDB,COMPLETE,cells/medical__PA__E14__Colon_colonDB.json,5c6d3b64b1a45ff42bbeca365a83c946f8d1b02ba16325d36f911f3196099d95,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,380,2026-09-01T00:36:36Z
medical__PA__E16__Colon_colonDB,medical,PA,16,Colon_colonDB,COMPLETE,cells/medical__PA__E16__Colon_colonDB.json,f28d6ddeca2d3228a58bd95f8a558008deed9d6d7b88608058a719150cde351a,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,380,2026-09-01T00:37:41Z
medical__PA__E18__Colon_colonDB,medical,PA,18,Colon_colonDB,COMPLETE,cells/medical__PA__E18__Colon_colonDB.json,9e429fbe92a89295702a26ee478c7ba277ba9ed112c4e7d185f51d278226f086,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,380,2026-09-01T00:38:45Z
medical__PA__E20__Colon_colonDB,medical,PA,20,Colon_colonDB,COMPLETE,cells/medical__PA__E20__Colon_colonDB.json,9b41c67e1a88c6e8ea8de0d18f6ae7ce8df885624c67d3236b95ef96e578cd40,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,380,2026-09-01T00:39:50Z
medical__PA__E10__Colon_Kvasir,medical,PA,10,Colon_Kvasir,COMPLETE,cells/medical__PA__E10__Colon_Kvasir.json,7f0550e798428168529802c4655a5df21fb6ed1d73cfc2ed8a379cd51023a96c,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,1000,2026-09-01T00:42:34Z
medical__PA__E12__Colon_Kvasir,medical,PA,12,Colon_Kvasir,COMPLETE,cells/medical__PA__E12__Colon_Kvasir.json,d89ade5268d8bb7349ab0a6e861482180dc32eba7be5a6e74a307c8d553dd93c,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,1000,2026-09-01T00:45:18Z
medical__PA__E14__Colon_Kvasir,medical,PA,14,Colon_Kvasir,COMPLETE,cells/medical__PA__E14__Colon_Kvasir.json,82b9f360c1a578f99a1617355685d0f22005ed60fbc11915405b23fa17b0c72b,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,1000,2026-09-01T00:48:00Z
medical__PA__E16__Colon_Kvasir,medical,PA,16,Colon_Kvasir,COMPLETE,cells/medical__PA__E16__Colon_Kvasir.json,069beec4b940fa649bd374ce629a3387e7a90ee5f4a79ac369993db298fb4cb0,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,1000,2026-09-01T00:50:42Z
medical__PA__E18__Colon_Kvasir,medical,PA,18,Colon_Kvasir,COMPLETE,cells/medical__PA__E18__Colon_Kvasir.json,79cf4694eb0a6b4f4d602c6035a81f8443272d17efbfc068e32aacc54f96f682,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,1000,2026-09-01T00:53:25Z
medical__PA__E20__Colon_Kvasir,medical,PA,20,Colon_Kvasir,COMPLETE,cells/medical__PA__E20__Colon_Kvasir.json,2879ca53163113aecae21598a53f6ecd9a192adeeca4e515466378a81b82b5fe,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,1000,2026-09-01T00:56:08Z
